codlegislatura,datemissao,idedocumento,idecadastro,indtipodocumento,nucarteiraparlamentar,nudeputadoid,nulegislatura,numano,numespecificacaosubcota,numlote,nummes,numparcela,numressarcimento,numsubcota,sgpartido,sguf,txnomeparlamentar,txtcnpjcpf,txtdescricao,txtdescricaoespecificacao,txtfornecedor,txtnumero,txtpassageiro,txttrecho,vlrdocumento,vlrglosa,vlrliquido,vlrrestituicao
56,2020-02-01 00:00:00,7007086,,0,,2442,2019,2020,0,1672803,2,0,,5,PSDB,NA,LIDERANÇA DO PSDB,27691290000113,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,CONTENT ASSESSORIA LTDA - ME,432,,,998,0,998,
56,2020-02-13 00:00:00,7017162,,4,,2442,2019,2020,0,1677757,1,0,,5,PSDB,NA,LIDERANÇA DO PSDB,05265605000128,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,,METROPOLE INTERATIVA INFORMATICA LTDA,46,,,4920,0,4920,
56,2020-02-04 00:00:00,7007754,,4,,2442,2019,2020,0,1673164,2,0,,13,PSDB,NA,LIDERANÇA DO PSDB,04538454000171,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,AFC ALIMENTOS LTDA,306,,,511,0,511,
56,2020-02-18 00:00:00,7018634,,4,,2442,2019,2020,0,1678458,2,0,,13,PSDB,NA,LIDERANÇA DO PSDB,04538454000171,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,AFC ALIMENTOS LTDA,311,,,186,0,186,
56,2020-02-11 00:00:00,7011106,,4,,2442,2019,2020,0,1674574,2,0,,13,PSDB,NA,LIDERANÇA DO PSDB,22836210000157,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,ARTESANAL SERVICOS DE ALIMENTACAO E BUFFET EIRELI,23,,,740,0,740,
56,2020-02-12 00:00:00,7012913,,4,,2442,2019,2020,0,1675436,2,0,,13,PSDB,NA,LIDERANÇA DO PSDB,23609954000100,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,EMPORIO ARABE BRASILIA LTDA ME,29,,,802.95,0,802.95,
56,2020-02-17 00:00:00,7017202,,4,,2442,2019,2020,0,1677777,2,0,,13,PSDB,NA,LIDERANÇA DO PSDB,11813538000131,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,,M LELIS CAFETERIA LTDA ME,16420,,,730,0,730,
56,2020-02-17 00:00:00,7022388,,0,,2439,2019,2020,0,1680550,2,0,,1,PT,NA,LIDERANÇA DO PT,08165429000221,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,Digital River do Brasil,04587354,,,2100,0,2100,
56,2020-02-12 00:00:00,7012750,,4,,2439,2019,2020,0,1675347,2,0,,1,PT,NA,LIDERANÇA DO PT,12132854000100,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME,2819,,,1298.2,0,1298.2,
56,2020-03-03 00:00:00,7026795,,4,,2439,2019,2020,1,1682527,3,0,,3,PT,NA,LIDERANÇA DO PT,30642701000195,COMBUSTÍVEIS E LUBRIFICANTES.,Veículos Automotores,AUTO POSTO 302 SUL LTDA,2200,,,100,0,100,
